학구ID,학구명,학구분류,시도코드,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,공간객체ID,데이터기준일자,제공기관코드,제공기관명
Z000390028,시흥학군,1,41,7530000,경기도교육청,7781000,경기도시흥교육지원청,2016-08-12,2018-03-28,5569,2021-03-25,7001220,한국교원대학교
Z000390024,이천학군,1,41,7530000,경기도교육청,7741000,경기도이천교육지원청,2016-08-12,2018-03-28,5570,2021-03-25,7001220,한국교원대학교
Z000390023,양평학군,1,41,7530000,경기도교육청,7731000,경기도양평교육지원청,2016-08-12,2018-03-28,5571,2021-03-25,7001220,한국교원대학교
Z000390022,가평학군,1,41,7530000,경기도교육청,7721000,경기도가평교육지원청,2016-08-12,2018-03-28,5572,2021-03-25,7001220,한국교원대학교
Z000390031,충청남도단일학교군,1,44,8140000,충청남도교육청,8151000,충청남도천안교육지원청,2016-08-12,2018-03-28,5573,2021-03-25,7001220,한국교원대학교
Z000390021,포천학군,1,41,7530000,경기도교육청,7711000,경기도포천교육지원청,2016-08-12,2018-03-28,5574,2021-03-25,7001220,한국교원대학교
Z000390008,양주학군,1,41,7530000,경기도교육청,7602000,경기도동두천양주교육지원청,2016-08-12,2018-03-28,5575,2021-03-25,7001220,한국교원대학교
Z000390007,동두천학군,1,41,7530000,경기도교육청,7602000,경기도동두천양주교육지원청,2016-08-12,2018-03-28,5576,2021-03-25,7001220,한국교원대학교
Z000390012,구리학군,1,41,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2016-08-12,2018-03-28,5577,2021-03-25,7001220,한국교원대학교
Z000390032,전라북도단일학교군,1,45,8320000,전라북도교육청,8451000,전라북도고창교육지원청,2016-08-12,2018-03-28,5578,2021-03-25,7001220,한국교원대학교
Z000390013,남양주학군,1,41,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2016-08-12,2018-03-28,5579,2021-03-25,7001220,한국교원대학교
Z000390014,여주학군,1,41,7530000,경기도교육청,7661000,경기도여주교육지원청,2016-08-12,2018-03-28,5580,2021-03-25,7001220,한국교원대학교
Z000390019,하남학군,1,41,7530000,경기도교육청,7692000,경기도광주하남교육지원청,2016-08-12,2018-03-28,5581,2021-03-25,7001220,한국교원대학교
Z000390018,광주학군,1,41,7530000,경기도교육청,7692000,경기도광주하남교육지원청,2016-08-12,2018-03-28,5582,2021-03-25,7001220,한국교원대학교
Z000390026,안성학군,1,41,7530000,경기도교육청,7761000,경기도안성교육지원청,2016-08-12,2018-03-28,5583,2021-03-25,7001220,한국교원대학교
Z000390011,평택학군,1,41,7530000,경기도교육청,7631000,경기도평택교육지원청,2016-08-12,2018-03-28,5584,2021-03-25,7001220,한국교원대학교
Z000390016,화성학군,1,41,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2016-08-12,2018-03-28,5585,2021-03-25,7001220,한국교원대학교
Z000390015,오산학군,1,41,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2016-08-12,2018-03-28,5586,2021-03-25,7001220,한국교원대학교
Z000390035,경상남도단일학교군,1,48,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2016-08-12,2018-03-28,5587,2021-03-25,7001220,한국교원대학교
Z000390034,경상북도단일학교군,1,47,8750000,경상북도교육청,8761000,경상북도포항교육지원청,2016-08-12,2018-03-28,5588,2021-03-25,7001220,한국교원대학교
Z000390033,전라남도단일학교군,1,46,8490000,전라남도교육청,8501000,전라남도목포교육지원청,2016-08-12,2018-03-28,5589,2021-03-25,7001220,한국교원대학교
Z000390036,제주특별자치도단일학교군,1,50,9290000,제주특별자치도교육청,9296000,제주특별자치도제주시교육지원청,2016-08-12,2018-03-28,5590,2021-03-25,7001220,한국교원대학교
Z000390027,김포학군,1,41,7530000,경기도교육청,7771000,경기도김포교육지원청,2016-08-12,2018-03-28,5591,2021-03-25,7001220,한국교원대학교
Z000390029,강원도단일학교군,1,42,7800000,강원도교육청,7811000,강원도춘천교육지원청,2016-08-12,2018-03-28,5592,2021-03-25,7001220,한국교원대학교
Z000390020,연천학군,1,41,7530000,경기도교육청,7701000,경기도연천교육지원청,2016-08-12,2018-03-28,5593,2021-03-25,7001220,한국교원대학교
Z000390017,파주학군,1,41,7530000,경기도교육청,7681000,경기도파주교육지원청,2016-08-12,2018-03-28,5594,2021-03-25,7001220,한국교원대학교
Z000390030,충청북도단일학교군,1,43,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2016-08-12,2020-11-11,5595,2021-03-25,7001220,한국교원대학교
