"행정구역별",2013 1/2,2013 2/2,2014 1/2,2014 2/2,2015 1/2,2015 2/2,2016 1/2,2016 2/2,2017 1/2,2017 2/2,2018 1/2,2018 2/2,2019 1/2,2019 2/2,2020 1/2,2020 2/2
"합계",169131,178200,190318,204162,210399,212319,213908,221914,215532,221578,217344,222374,218581,223058,199451,181073
"서울특별시",1485,1390,1439,1630,1685,1576,1572,1777,1955,2062,2116,2023,2037,2099,2009,1757
"부산광역시",6422,6597,6933,7638,7875,7977,7711,7951,7556,7463,6968,7052,6491,6641,5728,5123
"대구광역시",4674,5081,5469,5880,6123,5976,5722,5935,5478,5414,5039,4961,4709,4700,3962,3555
"인천광역시",10246,11129,11801,12211,12079,11804,11357,11868,11250,11738,11507,11950,11397,11449,10270,9162
"광주광역시",2827,2991,3213,3389,3438,3460,3477,3517,3354,3561,3292,3216,3104,3207,2801,2553
"대전광역시",515,613,616,590,661,707,705,677,634,707,698,726,751,801,772,735
"울산광역시",4107,4320,4508,4936,4994,5051,4877,4526,4079,3876,3554,3747,3781,3945,3227,2988
"세종특별자치시",640,687,808,803,907,879,914,943,929,1022,935,1086,1202,1336,1213,1124
"경기도",65084,69445,73628,79196,80642,82235,83222,89085,87512,91639,90908,92685,90894,92263,84313,76442
"강원도",2539,2091,2663,2347,3100,2664,3650,2846,3219,3063,3477,3180,3435,3296,2818,2537
"충청북도",7283,8106,8741,9457,9748,10061,10545,11476,11263,11957,11990,12612,12406,12894,11709,10923
"충청남도",13181,13531,14165,14899,15615,15563,16039,16986,17147,18140,18027,18496,18113,18706,16723,15448
"전라북도",5262,5443,5763,6127,6468,6482,6700,6693,6474,6574,6540,6957,7140,7303,6653,6142
"전라남도",6035,6182,6921,7881,8619,8930,9562,9360,9070,9222,9517,9990,10342,10964,9676,8805
"경상북도",12535,13338,14645,15688,15855,15725,15522,15846,15169,15322,14731,14986,14561,14736,12725,11684
"경상남도",24523,25553,27255,29671,30453,31065,29922,29873,27622,26822,24896,25388,24932,25492,22124,19639
"제주특별자치도",1773,1703,1750,1819,2137,2164,2411,2555,2821,2996,3149,3319,3286,3226,2728,2456
