,국적(지역)별(1),성별(1),variable,value
0,국적(지역)별(1),성별(1),2013,합계
1,총계,계,2013,1576034
2,총계,남자,2013,870176
3,총계,여자,2013,705858
4,총계,제3의성,2013,-
5,아시아주계,계,2013,-
6,아시아주계,남자,2013,735487
7,아시아주계,여자,2013,608881
8,북아메리카주계,계,2013,-
9,북아메리카주계,남자,2013,92243
10,북아메리카주계,여자,2013,66123
11,남아메리카주계,계,2013,-
12,남아메리카주계,남자,2013,2563
13,남아메리카주계,여자,2013,2190
14,유럽주계,계,2013,-
15,유럽주계,남자,2013,23152
16,유럽주계,여자,2013,17598
17,오세아니아주계,계,2013,-
18,오세아니아주계,남자,2013,8720
19,오세아니아주계,여자,2013,7967
20,오세아니아주계,제3의성,2013,-
21,아프리카주계,계,2013,-
22,아프리카주계,남자,2013,7920
23,아프리카주계,여자,2013,2960
24,기타계,계,2013,-
25,기타계,남자,2013,91
26,기타계,여자,2013,139
27,국적(지역)별(1),성별(1),2013.1,외교(A-1)
28,총계,계,2013.1,1649
29,총계,남자,2013.1,862
30,총계,여자,2013.1,787
31,총계,제3의성,2013.1,-
32,아시아주계,계,2013.1,-
33,아시아주계,남자,2013.1,295
34,아시아주계,여자,2013.1,268
35,북아메리카주계,계,2013.1,-
36,북아메리카주계,남자,2013.1,191
37,북아메리카주계,여자,2013.1,163
38,남아메리카주계,계,2013.1,-
39,남아메리카주계,남자,2013.1,44
40,남아메리카주계,여자,2013.1,31
41,유럽주계,계,2013.1,-
42,유럽주계,남자,2013.1,184
43,유럽주계,여자,2013.1,173
44,오세아니아주계,계,2013.1,-
45,오세아니아주계,남자,2013.1,15
46,오세아니아주계,여자,2013.1,20
47,오세아니아주계,제3의성,2013.1,-
48,아프리카주계,계,2013.1,-
49,아프리카주계,남자,2013.1,133
50,아프리카주계,여자,2013.1,132
51,기타계,계,2013.1,-
52,기타계,남자,2013.1,0
53,기타계,여자,2013.1,0
54,국적(지역)별(1),성별(1),2013.2,공무(A-2)
55,총계,계,2013.2,970
56,총계,남자,2013.2,592
