"행정구역(시군구)별(1)","성별(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"행정구역(시군구)별(1)","성별(1)",계,한국계중국인,중국,베트남,우즈베키스탄,필리핀,캄보디아,네팔,인도네시아,타이(태국),미얀마,미국,몽골,일본,스리랑카,타이완(대만),카자흐스탄,방글라데시,러시아(연방),파키스탄,인도,키르기즈,영국,캐나다,말레이시아,프랑스,우크라이나,이집트,남아프리카공화국,나이지리아,독일,티모르민주공화국(동티모르),홍콩,오스트레일리아,시리아,터키,한국계러시아인,가나,모로코,이란,예멘공화국,라오스,사우디아라비아,에티오피아,이탈리아,카메룬,브라질,뉴질랜드,스페인,싱가포르,네덜란드,아일랜드,멕시코,아랍에미리트연합,라이베리아,타지키스탄,우간다,스웨덴,알제리,콜롬비아,리비아,케냐,폴란드,세네갈,페루,아프가니스탄,벨기에,이라크,요르단,투르크메니스탄,튀니지,노르웨이,기니,수단,탄자니아,르완다,스위스,에콰도르,덴마크,벨로루시,콩고민주공화국,말리,그리스,오스트리아,아제르바이잔,루마니아,핀란드,칠레,헝가리,코트디부아르,베네수엘라,포르투갈,앙골라,이스라엘,감비아,체코,불가리아,아르헨티나,무국적,마카오,부룬디,짐바브웨,잠비아,리투아니아,파라과이,과테말라,쿠웨이트,피지,볼리비아,크로아티아,도미니카공화국,가봉,아르메니아,시에라리온,브루나이,엘살바도르,파나마,모잠비크,조지아,팔레스타인,코스타리카,슬로바크,미등록국가,세르비아,토고,부르키나파소,온두라스,자메이카,영국외지민,라트비아,몰도바,쿠바,슬로베니아,레바논,에스토니아,카타르,아이티,마다가스카르,부탄,베냉,니카라과,오만,우루과이,콩고,국제연합,말라위,알바니아,보츠와나,모리셔스,트리니다드토바고,키리바시,바레인,기니비사우,소말리아,키프로스,룩셈부르크,남수단공화국,차드,에스와티니,에리트레아,아이슬란드,보스니아-헤르체고비나,세인트크리스토퍼네비스,모리타니,솔로몬군도,마케도니아,중앙아프리카공화국,몰타,적도기니,바하마,몬테네그로,코소보,바누아투,레소토,니제르,몰디브,팔라우,파푸아뉴기니,코모로,벨리즈,도미니카연방,나미비아,그레나다,통가,수리남,바베이도스,나우루,지부티,앤티카바부다,안도라,세인트루시아,세이셸,가이아나
"계","계",1271807,332525,208081,187334,56237,45354,45016,40933,37043,32633,27483,26025,24845,24316,23476,19872,17499,14975,12786,11523,10090,4982,4384,4358,4249,3695,3213,2827,2503,2306,2305,2256,1924,1687,1517,1371,1360,1169,1136,1049,1036,1015,1004,902,861,818,793,762,708,656,635,598,583,572,497,496,493,450,436,384,383,382,373,356,342,340,340,337,320,294,269,266,256,255,251,244,243,239,230,225,213,204,204,199,189,189,172,169,168,157,156,150,141,139,138,133,126,117,106,105,104,94,84,74,68,68,67,65,64,63,62,61,60,60,60,57,56,54,50,49,48,48,48,46,45,44,43,42,42,40,39,38,38,33,32,30,29,29,28,28,28,27,26,25,25,24,23,23,23,22,21,18,18,17,16,16,15,14,13,13,12,12,11,11,9,8,7,7,6,6,6,5,5,5,5,4,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1
"계","남자",727281,187112,80829,90795,38574,25535,30677,36418,33664,22294,26361,14072,12088,5590,22710,9486,9523,13813,5677,9943,7207,2903,2897,2786,2493,2029,1626,2440,1143,1863,1265,2188,427,1043,1078,841,599,977,694,600,847,363,619,591,496,550,425,526,380,269,408,425,264,321,385,323,326,225,340,169,236,248,136,312,140,254,201,207,200,164,173,147,211,175,178,155,150,107,138,74,147,187,159,123,114,66,85,50,61,101,68,80,108,61,133,60,52,61,41,17,64,57,43,33,20,31,53,32,27,42,26,38,24,40,17,19,21,35,15,36,18,21,29,27,35,34,17,22,10,13,9,20,23,23,8,14,25,6,13,24,6,10,9,18,14,14,10,12,10,5,18,11,16,13,10,7,12,13,9,7,8,9,9,8,5,5,6,4,6,0,4,3,5,3,4,3,3,0,2,2,2,1,1,1,0,1,2,0,1,1,0,1,1
"계","여자",544526,145413,127252,96539,17663,19819,14339,4515,3379,10339,1122,11953,12757,18726,766,10386,7976,1162,7109,1580,2883,2079,1487,1572,1756,1666,1587,387,1360,443,1040,68,1497,644,439,530,761,192,442,449,189,652,385,311,365,268,368,236,328,387,227,173,319,251,112,173,167,225,96,215,147,134,237,44,202,86,139,130,120,130,96,119,45,80,73,89,93,132,92,151,66,17,45,76,75,123,87,119,107,56,88,70,33,78,5,73,74,56,65,88,40,37,41,41,48,37,14,33,37,21,36,23,36,20,43,38,35,19,35,13,30,27,19,19,10,10,26,20,32,27,30,18,15,10,24,16,4,23,15,4,22,17,17,7,11,10,13,11,13,17,3,7,2,4,6,9,3,1,4,6,4,3,2,3,4,3,1,3,0,6,2,2,0,2,1,1,0,3,1,1,1,2,2,1,2,1,0,1,0,0,1,0,0
"서울특별시","계",281876,115637,66053,19122,3053,3484,1035,1353,1340,1890,1016,9636,6307,8696,404,8687,1538,741,2307,1325,2189,374,1635,1495,2322,2418,368,592,352,657,1542,22,1256,747,104,544,83,217,454,426,84,143,801,287,531,53,327,250,437,381,378,230,280,521,75,51,158,323,166,209,121,98,178,138,150,73,217,125,56,72,72,116,77,114,80,70,163,104,138,91,46,65,52,122,101,67,97,111,90,66,64,91,64,105,45,70,62,59,36,71,12,18,37,32,29,22,25,39,18,10,28,26,14,31,46,29,42,6,38,12,19,23,2,24,5,24,21,11,22,20,8,12,25,13,23,28,7,14,9,8,12,24,13,11,10,9,13,5,2,8,1,8,3,3,5,13,1,4,1,4,10,1,9,2,1,2,1,0,1,3,2,4,0,1,2,1,0,1,1,2,0,1,1,0,0,1,1,1,1,1,0,0,0
"서울특별시","남자",133666,65133,23005,6872,1846,935,545,893,512,625,715,4993,2473,2465,314,3901,589,542,781,994,1449,118,1013,945,1383,1226,149,481,186,489,780,12,247,428,72,281,33,165,269,225,64,45,481,177,275,35,182,183,220,144,225,157,133,284,55,32,110,161,125,95,70,54,57,115,61,50,124,75,30,32,37,34,65,71,60,43,94,42,61,27,37,60,35,64,52,15,43,36,30,45,27,42,45,43,44,33,17,29,19,6,8,9,17,12,9,10,14,20,8,3,11,15,1,18,14,11,15,4,11,7,7,8,1,13,4,19,11,6,6,7,1,6,13,9,6,14,6,5,5,7,2,10,7,8,5,3,5,2,1,1,1,3,3,2,4,6,0,4,1,3,7,1,8,2,0,1,1,0,1,0,1,2,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0
"서울특별시","여자",148210,50504,43048,12250,1207,2549,490,460,828,1265,301,4643,3834,6231,90,4786,949,199,1526,331,740,256,622,550,939,1192,219,111,166,168,762,10,1009,319,32,263,50,52,185,201,20,98,320,110,256,18,145,67,217,237,153,73,147,237,20,19,48,162,41,114,51,44,121,23,89,23,93,50,26,40,35,82,12,43,20,27,69,62,77,64,9,5,17,58,49,52,54,75,60,21,37,49,19,62,1,37,45,30,17,65,4,9,20,20,20,12,11,19,10,7,17,11,13,13,32,18,27,2,27,5,12,15,1,11,1,5,10,5,16,13,7,6,12,4,17,14,1,9,4,1,10,14,6,3,5,6,8,3,1,7,0,5,0,1,1,7,1,0,0,1,3,0,1,0,1,1,0,0,0,3,1,2,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
"부산광역시","계",45999,2492,9294,12131,1868,1956,1205,1050,2710,590,1276,1251,568,1396,784,1543,293,417,1234,655,364,98,273,322,50,130,52,23,175,41,104,60,52,93,18,70,188,17,37,64,3,58,11,49,30,26,30,37,28,34,39,38,35,1,1,15,19,34,17,15,0,28,18,2,23,7,10,5,3,3,8,44,5,6,16,13,14,5,18,16,6,0,4,18,11,5,8,3,8,2,15,2,1,0,1,5,5,3,3,2,21,5,1,15,2,5,35,7,3,4,7,5,0,2,0,4,3,3,0,3,2,1,1,3,0,0,2,7,2,2,3,4,4,0,2,0,0,1,1,0,2,1,3,0,0,2,1,0,0,2,8,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"부산광역시","남자",25667,1302,3690,6204,1511,1005,885,872,2368,343,1169,724,252,324,756,764,123,373,480,577,263,46,192,228,14,63,19,14,81,30,63,52,14,62,14,43,65,14,10,32,3,4,4,32,23,19,15,29,16,20,24,31,16,0,1,9,12,17,10,8,0,19,3,1,6,7,8,4,3,1,5,32,3,4,8,9,11,2,14,8,6,0,4,14,5,1,2,0,4,2,6,1,1,0,1,5,4,2,0,0,15,3,0,13,1,2,35,4,2,2,2,3,0,2,0,1,2,0,0,3,0,1,1,3,0,0,0,3,2,1,1,2,3,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,7,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
